Date / Time,City,State,Shape,Duration,Summary,Posted
9/21/2014 0:30,Omaha,NE,Unknown,10 minutes,Red light in southwest.,9/25/2014
9/21/2014 0:20,Beltzville,PA,Flash,1 second,Bright flash in sky,9/25/2014
9/20/2014 23:50,Silver Spring,MD,Light,15+ minutes,"Yellowish orange, white, and green flashing lights over Silver Spring, MD.",9/25/2014
9/20/2014 23:45,Smithville,MO,Diamond,2 1/2,Blurry UFO,9/25/2014
9/20/2014 23:30,Pullman,WA,Formation,5-10 minutes,"After the football game in Pullman, Wa between the University of Oregon & Washington State University on 9/20/2014 around 2330 hrs, my",9/25/2014
9/20/2014 23:00,Pullman,WV,Diamond,15 Minutes,"After the cougar game there was a large diamond shaped formation made of colored lights (blue, green, red) flying west and followed by",9/25/2014
9/20/2014 22:45,Alpharetta,GA,Formation,15 minutes,Several waves of lights flying in different formations.,9/25/2014
9/20/2014 22:15,Anchorage,AK,Circle,10 seconds,Light green saucer-like object behind Anchorage airport (Earthquake Park).,9/25/2014
9/20/2014 22:15,Bellevue,WA,Light,3-4 seconds,"In Bellevue, WA, last night in the southern sky, 09/20/2014, 10:15pm. a ball of light streaked across the night sky, it got brig",9/25/2014
9/20/2014 22:10,Fairview (rural),WV,Circle,2 seconds,"Green circular object hovers briefly high in north sky, then speeds toward the ground in a laser like fashion.",9/25/2014
9/20/2014 21:45,Murfreesboro,TN,Triangle,45 seconds,Dull orange color not moving fast at all; no flashing lights.,9/25/2014
9/20/2014 21:30,Bellingham,MA,Sphere,5 minutes,"When driving on a back road we noticed an orange ""ball"" like light in the sky. It was an absolute clear night.",9/25/2014
9/20/2014 21:30,Jacksonville,AL,Light,5 minute,2 red lights disappear behind mountain. 5 jets follow behind.,9/25/2014
9/20/2014 21:20,Lancaster,OH,Circle,10 minutes,"A small orange light moved across the sky, stopped, then continued past the horizon.",9/25/2014
9/20/2014 21:01,Maineville,OH,Other,3 minutes,((HOAX??)) Saw 6 lights then they all faded out. 3 showed up somewhere else then started to blink then 1 by 1 disaperd,9/25/2014
9/20/2014 21:00,Garfield Heights,OH,Circle,3 seconds,Bright white and blue (basketball shaped),9/25/2014
9/20/2014 20:56,Munhall,PA,Fireball,4 minutes,"Three objects, orange, silent, two in the lead, one behind. Looked like a fireball, but a chevron shape. Traveling east to northwest",9/25/2014
9/20/2014 20:45,Bothell,WA,Unknown,~3 seconds,"((HOAX??)) Object(s) in night sky Bothell, WA, Nov 20, 8:45PM. ((NUFORC Note: Date is severely flawed. PD))",9/25/2014
9/20/2014 20:30,Donora,PA,Egg,30 minutes,"15-20 glowing egg-shaped lights, no sound, shared trajectory and elevation.",9/25/2014
9/20/2014 20:16,New York City (Jamaica),NY,Light,20 minutes,UFO sighting in Jamaica Queens NY,9/25/2014
9/20/2014 20:00,Antioch,IL,Fireball,5 minutes,Orange fireball disks,9/25/2014
9/20/2014 20:00,Phoenix,AZ,Fireball,5 minutes,Multiple maneuvering fireballs.,9/25/2014
9/20/2014 19:55,Owings Mills,MD,Light,10,Golden yellow lights moving around in the sky like 20 planes in same direction and disappearing one by one.,9/25/2014
9/20/2014 19:48,Overland Park,KS,Unknown,3 minutes,"Red and green non blinking lights hovering, seen by 2 others.",9/25/2014
9/20/2014 19:45,Shenzhen (China),,Unknown,20 minutes,Unknown light object above evening night sky,9/25/2014
9/20/2014 19:38,Chandler,AZ,Fireball,30 minutes,Four balls with flaming tails floating down slowly from the sky with directional changes,9/25/2014
9/20/2014 19:38,Gilbert,AZ,Fireball,20 minutes,Unidentified balls of light with flaming tails that floated down out of the sky like feathers.,9/25/2014
9/20/2014 19:35,Chandler,AZ,Unknown,,"Fire trails in the sky, changing direction and descending.",9/25/2014
9/20/2014 19:30,Gilbert,AZ,Changing,5 minutes,"Changing lights in sky, from red/blue light to flare like light.",9/25/2014
9/20/2014 19:30,Gilbert,AZ,Fireball,5 minutes,"Dancing fireballs over Gilbert, AZ",9/25/2014
9/20/2014 19:30,Kitchener (Canada),ON,Disk,2-3 minutes,Glowing gold disk shaped object hovering silently before rising straight up and disappearing into a cloud.,9/25/2014
9/20/2014 19:30,Wallingford,CT,Circle,6 minutes,ON SEPT 20TH 2014 WE SAW RED OBJECTS IN SKY WALLINGFORD CT.,9/25/2014
9/20/2014 19:30,Plain Dealing,LA,Cigar,1 minute,Nothing that I have ever seen the like of or can explain. I have given the best description I could.,9/25/2014
9/20/2014 19:14,Venice (Italy),,Triangle,2 minutes,"They are like birds, gold like a sun, like they are bird shape they are extremely fast and turning around each other.",9/25/2014
9/20/2014 18:00,Toshima (Japan),,Disk,0:03,Several disc shaped objects seen during photograph at Japanese train station in Tokyo.,9/25/2014
9/20/2014 13:00,Monaville,TX,Changing,20 minutes,At an airshow could see craft in distant sky drifting very slowly.,9/25/2014
,,,,,,
,,,,,"Photos taken, showing a craft in the shape of the number 3, shini",
