"ObservationDate","Height","Build","HeightFeet","HeightInches","EstimatedWeightPounds","BMI","CDCWeightStatus"
"10/1/1949","9-10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
"10/1/1962","7 ft","medium",7,84,529,52.7050736961451,"Obese"
"7/17/1963","9 ft","very heavy",9,108,1012,60.9941700960219,"Obese"
"9/1/1967","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"10/1/1967","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"2/26/1975","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"11/20/1975","5-6 ft","thin",6,72,428.5,58.108699845679,"Obese"
"9/11/1977","7 ft","medium",7,84,529,52.7050736961451,"Obese"
"4/3/1978","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"4/3/1978","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"4/3/1978","5 ft","thin",5,60,428.5,83.6765277777778,"Obese"
"2/1/1979","9 ft","thin",9,108,428.5,25.8260888203018,"Overweight"
"9/1/1979","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"8/1/1980","7 ft","medium",7,84,529,52.7050736961451,"Obese"
"9/15/1990","6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"7/1/1965","8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"6/1/1968","6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"9/1/1969","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/10/1972","7-8 ft","very heavy",8,96,1012,77.1957465277778,"Obese"
"6/1/1972","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"4/1/1991","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"6/1/1992","9 ft","heavy",9,108,648.5,39.0856910150892,"Obese"
"6/1/1992","8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/1/1959","7-8 ft","heavy",8,96,648.5,49.4678276909722,"Obese"
"10/1/1953","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"7/5/1988","6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"5/11/1996","6 ft","very heavy",6,72,1012,137.236882716049,"Obese"
"12/7/1979","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"8/4/1996","6 ft","heavy",6,72,648.5,87.9428047839506,"Obese"
"9/1/1973","7 ft","very heavy",7,84,1012,100.827097505669,"Obese"
"1/1/1974","7 ft","heavy",7,84,648.5,64.6110402494331,"Obese"
"12/19/1977","10 ft","very heavy",10,120,1012,49.4052777777778,"Obese"
