"ReportedYear","ReportedMonth","State","UFO_Shape","NumberSeen","DurationInSeconds","DurationSecondsMin","DurationSecondsMax","DurationSecondsMean","DurationSecondsMedian","DurationSecondsStandardDeviation"
"2014","09","ID","Light",5,4210,0,3600,842,300,1548.81244829708
"2014","09","ID","Oval",1,1800,1800,1800,1800,1800,NA
"2014","09","ID","Sphere",1,3600,3600,3600,3600,3600,NA
"2014","09","ID","Unknown",3,4800,300,3300,1600,1200,1539.48043183407
"2014","09","IL","Circle",2,600,300,300,300,300,0
"2014","09","IL","Fireball",1,300,300,300,300,300,NA
"2014","09","IL","Light",4,2730,0,2700,682.5,15,1345.07434738753
"2014","09","IL","Rectangle",1,40,40,40,40,40,NA
"2014","09","IL","Sphere",1,60,60,60,60,60,NA
"2014","09","IN","Disk",1,900,900,900,900,900,NA
"2014","09","IN","Flash",1,2,2,2,2,2,NA
"2014","09","IN","Light",1,60,60,60,60,60,NA
"2014","09","IN","Other",1,20,20,20,20,20,NA
"2014","09","KS","",1,40,40,40,40,40,NA
"2014","09","KS","Changing",1,7200,7200,7200,7200,7200,NA
"2014","09","KS","Diamond",1,120,120,120,120,120,NA
"2014","09","KS","Disk",1,0,0,0,0,0,NA
"2014","09","KS","Light",1,300,300,300,300,300,NA
"2014","09","KS","Teardrop",1,300,300,300,300,300,NA
"2014","09","KS","Triangle",1,0,0,0,0,0,NA
"2014","09","KS","Unknown",1,180,180,180,180,180,NA
"2014","09","KY","Circle",1,1800,1800,1800,1800,1800,NA
"2014","09","KY","Disk",1,780,780,780,780,780,NA
"2014","09","KY","Light",1,0,0,0,0,0,NA
"2014","09","KY","Other",1,300,300,300,300,300,NA
"2014","09","KY","Triangle",2,2700,0,2700,1350,1350,1909.18830920368
"2014","09","LA","Changing",1,7200,7200,7200,7200,7200,NA
"2014","09","LA","Cigar",1,60,60,60,60,60,NA
"2014","09","LA","Circle",1,0,0,0,0,0,NA
"2014","09","LA","Formation",1,900,900,900,900,900,NA
"2014","09","LA","Light",1,40,40,40,40,40,NA
"2014","09","LA","Other",1,3600,3600,3600,3600,3600,NA
"2014","09","LA","Teardrop",1,60,60,60,60,60,NA
"2014","09","LA","Triangle",2,150,30,120,75,75,63.6396103067893
"2014","09","LA","Unknown",1,900,900,900,900,900,NA
"2014","09","MA","Changing",1,60,60,60,60,60,NA
"2014","09","MA","Circle",1,7200,7200,7200,7200,7200,NA
"2014","09","MA","Fireball",2,420,120,300,210,210,127.279220613579
"2014","09","MA","Formation",1,15,15,15,15,15,NA
"2014","09","MA","Light",8,5340,0,3600,667.5,210,1208.72719360964
"2014","09","MA","Rectangle",1,0,0,0,0,0,NA
"2014","09","MA","Sphere",3,3945,45,3600,1315,300,1982.97125546489
"2014","09","MA","Unknown",1,300,300,300,300,300,NA
"2014","09","MD","Changing",1,1800,1800,1800,1800,1800,NA
"2014","09","MD","Circle",1,3600,3600,3600,3600,3600,NA
"2014","09","MD","Light",8,1170,0,900,146.25,30,308.217803323744
"2014","09","MD","Sphere",1,5400,5400,5400,5400,5400,NA
"2014","09","MD","Teardrop",2,55,10,45,27.5,27.5,24.7487373415292
"2014","09","MD","Unknown",1,45,45,45,45,45,NA
"2014","09","ME","Diamond",1,600,600,600,600,600,NA
"2014","09","ME","Disk",1,1800,1800,1800,1800,1800,NA
"2014","09","ME","Fireball",1,300,300,300,300,300,NA
"2014","09","MI","Circle",3,602,0,600,200.666666666667,2,345.834257026879
"2014","09","MI","Egg",1,10,10,10,10,10,NA
"2014","09","MI","Light",3,9300,300,7200,3100,1800,3629.04946232481
"2014","09","MI","Other",1,900,900,900,900,900,NA
"2014","09","MI","Sphere",1,600,600,600,600,600,NA
"2014","09","MI","Triangle",1,240,240,240,240,240,NA
"2014","09","MN","",1,600,600,600,600,600,NA
"2014","09","MN","Disk",1,0,0,0,0,0,NA
"2014","09","MN","Fireball",1,300,300,300,300,300,NA
"2014","09","MN","Formation",1,300,300,300,300,300,NA
"2014","09","MN","Unknown",2,21720,120,21600,10860,10860,15188.653659887
"2014","09","MO","Circle",1,3600,3600,3600,3600,3600,NA
"2014","09","MO","Diamond",1,0,0,0,0,0,NA
"2014","09","MO","Light",3,2102,2,1200,700.666666666667,900,623.378964461693
"2014","09","MO","Oval",1,300,300,300,300,300,NA
"2014","09","MO","Triangle",1,7200,7200,7200,7200,7200,NA
"2014","09","MS","Fireball",1,5,5,5,5,5,NA
"2014","09","MS","Light",1,90,90,90,90,90,NA
"2014","09","MS","Triangle",1,40,40,40,40,40,NA
"2014","09","MT","Circle",1,1800,1800,1800,1800,1800,NA
"2014","09","MT","Light",2,1860,60,1800,930,930,1230.36579926459
"2014","09","NC","Circle",2,360,60,300,180,180,169.705627484771
"2014","09","NC","Fireball",1,600,600,600,600,600,NA
"2014","09","NC","Light",3,7503,3,7200,2501,300,4072.16195650419
"2014","09","NC","Oval",1,300,300,300,300,300,NA
